staker,lp,stt,ste,faction
terra1lv3pt2rjw7azeeszfgd7wtlaesdxn9arq2ddsa,147.368677,32.394738,216.60558424999996,degens
terra1lvwf7g79u467840fymgg4ulrvrg2zcwaer9qxl,0.437202,0.01651,0.5630125,degens
terra1lvdjq7qxfd7v9lvs8g4jcnt7z568dgd9074l9f,27.483209,10,44.35401125,degens
terra1lv8kjf998acj5vq0nx63llwq0ky606q7g6enxx,1.906799,0.2,2.58349875,degens
terra1ltu282eu6lrq594zxjzf3efmw3qd8mmlujcnj8,0.207109,0.246457,0.50534325,degens
terra1ltmd442uyhgyecqrv4d3zgjmzyljl499kwnuy4,1.243488,0.01,1.56436,degens
terra1lts9sek6lzmf4cajtc8s303l700vsacf3jlxh5,1.901682,0,2.3771025000000003,degens
terra1lt0gg6cmd99hq04de5u39vv4ssnykk2ht2jtge,0.190763,0.1,0.33845375,degens
terra1ltw3defvtvvwg3f4utq7w9qtytyde2c74dznkl,37.69581,18.007446,65.1272085,degens
terra1lt2nqjl5gfsnpwdlak7pakd6zz98n3m7j5zq6d,2802.252458,253,3755.8155724999997,degens
terra1ltfhcfa87mu0vv9z92gx96vj7850mqhpse6y4l,0.412836,0.195543,0.711588,degens
terra1l25zzphjv46whqy0agjhj6402h55n490epy8k2,25,33.612295,64.862295,degens
terra1l2ndhg6h8y49zufmtu2paf7998drx7phzu7cqy,2.037392,1,3.5467400000000002,degens
terra1l2tgy3j3u9kqg5shzwh7d7slwv656z59s4w8z7,369.102607,101.621893,563.00015175,degens
terra1l280l07c37vhnnu7jwrus6yn9rlqvg2pa08prx,122.166708,33.573643,186.282028,degens
terra1lfsnn8wk9s47sfckze08pv4ggjh2nxevjv4njg,278.859777,402.692868,751.26758925,degens
terra1lfxajfsp24ufltfckcmgr4mqvswle0xp55rh07,540.900672,20.774377,696.9002169999999,degens
terra1lfys0tspvzcn73wfyvalx7zvhljxa4q44vzdwx,23.877537,0,29.84692125,degens
terra1lgm3q2pfa75jddccmm9asp6n8jhxz303m9q53z,54.109289,26.182198,93.81880925,degens
terra1lgm008rww99m8n0ned7duk6hdqhcx0keghl0u9,43.721933,0,54.65241625,degens
terra1lg5epl78u8cgzwkvv4y6mnaemhj7z4y6lltuua,25.59,0,31.9875,degens
terra1lgqq08u03w35da0xwykfvx8xq8n9nwy544z95s,5.35837,1,7.6979625,degens
terra1l870sczqjrwuxanen5703nwq4xkygsugcx3x6w,1.128668,0.019559,1.4303940000000002,degens
terra1l8eq7dwpusk58slyxfcfsy4d68xpnj8fjakwh8,15.735053,7.661683,27.33049925,degens
terra1l8npwgzgdp66l347809j50lrmuycdz3mrvy3xg,39.643203,0,49.55400375,degens
terra1l8jvmr9zul4ezd242z8mn2q5ps39nsxtc78nnx,650.726845,25,838.4085562500001,degens
terra1l8x2ehlq5h2n7xt38rze6tudzqwgnqhsft5qtz,44.161384,93.79521,148.99694,degens
terra1lxkwxxc5yuw4x7a9usg2444hdpmhlmag3udh63,114.125633,0,142.65704125,degens
terra1lx4thxwhruncqdspn6juec49ju7ezu0zzs9kn5,69.785309,0,87.23163625,degens
terra1lx8d5fr245xah67jheejvzqlh74qzmvf8nt0wx,819.53,1835.186417,2859.598917,degens
terra1lxyvpurcylwe83zwxnjt4re6g9n4fpe2w6ppsf,33.525348,0,41.906685,degens
terra1lxytm6m6wgmjvg8hx636e3pz62jmkasp0nwuep,200.01397,0,250.0174625,degens
terra1ly4v77x5ddgxxmxfq50vv60s9t9s2u90awzn7u,84.454528,0,105.56815999999999,degens
